,model_type,dataset,gradient_accumulation_steps,conv1_t_stride,learning_rate,no_max_pool,label_smoothing,bn_size,batch_size,model,widen_factor,act,resnet_type,growth_rate,dropout_prob,warmup_epochs,scheduler_type,weight_decay,mixup_alpha,remove_last_block,optimizer_type,conv1_t_size,densenet_type,init_features
87,,liver,1,1.0,0.0013665579224,True,0.1099502866897,,2,resnet,1.4946397630287,gelu,resnet18,,,3,warmup,0.0007912388855,0.2004312659682,,sgd,5.0,,
88,,liver,1,1.0,7.61213143e-05,True,0.1600118170017,,4,resnet,1.8140708827971,leakyrelu,resnet34,,,5,warmup,2.26763e-06,0.1821528577273,,adam,6.0,,
89,,liver,1,1.0,0.0027944268159,True,0.0013117980716,,4,resnet,1.6867326402415,leakyrelu,resnet18,,,3,cosine_warmup,4.0985717e-05,0.085042460043,,adam,7.0,,
90,,liver,1,,4.54670974e-05,,0.1601964737705,1.0,1,densenet,,relu,,25.0,0.1084483006395,0,cosine_warmup,2.33945181e-05,0.0827247972253,True,adam,,densenet169,41.0
91,,liver,1,2.0,0.0029097582215,False,0.1338024546817,,2,resnet,1.8933665725499,relu,resnet34,,,4,warmup,0.0004047591122,0.2882293520575,,sgd,6.0,,
92,,liver,1,,0.0004562161698,,0.1375372753151,3.0,4,densenet,,relu,,26.0,0.2136937020432,2,cosine_warmup,1.61553e-06,0.3283677317313,True,adamw,,densenet201,17.0
93,,liver,1,,0.0032477488439,,0.1364274820583,4.0,2,densenet,,leakyrelu,,18.0,0.2715220463627,1,warmup,7.3224838e-06,0.3437969413637,False,adamw,,densenet169,16.0
94,,liver,2,2.0,0.0049037540541,False,0.0548741706103,,3,resnet,1.4530011074385,leakyrelu,resnet34,,,4,cosine_warmup,2.34973255e-05,0.1181986352641,,adamw,3.0,,
95,,hcc,2,2.0,0.0006680593467,True,0.0002344693361,,3,resnet,1.3097042784674,relu,resnet34,,,4,warmup,1.04250619e-05,0.3907743445877,,adam,3.0,,
96,,hcc,1,1.0,7.16815899e-05,True,0.1257897535121,,3,resnet,1.6164446875793,gelu,resnet50,,,1,warmup,2.0140419e-05,0.0489561095847,,adamw,5.0,,
97,,hcc,2,2.0,0.0072541695977,False,0.0652972304066,,4,resnet,1.4112073404968,relu,resnet34,,,4,warmup,0.0002019721322,0.3473736208157,,adam,7.0,,
98,,hcc,1,1.0,0.0009158709953,True,0.0689620837266,,4,resnet,1.9666102005898,leakyrelu,resnet50,,,1,warmup,9.9888425e-06,0.1965507940068,,sgd,7.0,,
99,,hcc,2,,0.0021042571715,,0.0654545266387,4.0,2,densenet,,gelu,,19.0,0.1363756493711,5,cosine_warmup,0.000917079606,0.128514073694,False,adam,,densenet169,63.0
100,,hcc,2,,0.0044491022136,,0.1681663663178,2.0,3,densenet,,gelu,,28.0,0.2147093925012,1,warmup,6.99994616e-05,0.1598962109068,False,sgd,,densenet169,35.0
101,,hcc,1,1.0,1.08953041e-05,False,0.1699023213225,,3,resnet,1.3063742398184,leakyrelu,resnet18,,,1,cosine_warmup,0.0008507816707,0.3363217124157,,sgd,5.0,,
102,,hcc,1,1.0,0.0001397804268,True,0.052229351846,,4,resnet,1.2280277383455,gelu,resnet34,,,3,cosine_warmup,6.53919968e-05,0.0883768710762,,adam,5.0,,
103,,hcc,1,1.0,0.0012245666945,False,0.0622126848041,,2,resnet,1.5601672105406,gelu,resnet50,,,1,warmup,7.9304069e-06,0.0900624257469,,adam,7.0,,
104,,hcc,1,,0.0034032978967,,0.1773851012568,1.0,1,densenet,,leakyrelu,,21.0,0.2423412869563,1,warmup,5.8523956e-06,0.3708485119502,True,adamw,,densenet169,57.0
105,,hcc,1,,0.0079682096873,,0.0803893843732,4.0,2,densenet,,leakyrelu,,13.0,0.2273672270602,5,warmup,2.83230457e-05,0.3788720727785,False,sgd,,densenet169,23.0
106,,hcc,1,,0.0003362530489,,0.0697540699188,1.0,3,densenet,,leakyrelu,,14.0,0.1434209295095,3,cosine_warmup,8.98593276e-05,0.1869770302765,False,sgd,,densenet201,35.0
107,,hcc,2,,0.0024784308676,,0.1795379170272,4.0,4,densenet,,leakyrelu,,25.0,0.0077117869434,3,warmup,3.15225225e-05,0.1048085079595,True,adamw,,densenet169,53.0
108,,hcc,2,1.0,1.04447843e-05,False,0.1811731206846,,1,resnet,1.9839543664137,gelu,resnet18,,,0,cosine_warmup,0.0001831370526,0.0097093357671,,adamw,4.0,,
109,,hcc,2,1.0,0.0008417018558,True,0.0253737692636,,1,resnet,1.326208449789,relu,resnet34,,,2,warmup,5.87009243e-05,0.2914555869017,,adamw,6.0,,
110,,hcc,2,,0.0001067291379,,0.1176548340532,1.0,3,densenet,,relu,,28.0,0.1759092142737,4,cosine_warmup,1.5674035e-06,0.1615705818058,True,adamw,,densenet121,45.0
111,,hcc,2,,0.0003017297505,,0.1241974414735,2.0,3,densenet,,leakyrelu,,14.0,0.0908594433789,4,warmup,8.79908522e-05,0.1973743947223,False,sgd,,densenet121,64.0
112,,hcc,2,1.0,0.0003669098049,False,0.160849647932,,2,resnet,1.3000088865075,relu,resnet18,,,5,cosine_warmup,5.01738385e-05,0.090535835852,,adam,6.0,,
113,,hcc,1,,0.0004012016087,,0.0624207939233,4.0,1,densenet,,gelu,,13.0,0.1655864984144,0,warmup,2.2238902e-06,0.3428757893248,True,adamw,,densenet169,38.0
114,,hcc,2,1.0,0.000147558666,False,0.0937134468192,,2,resnet,1.8179808919678,leakyrelu,resnet50,,,2,cosine_warmup,4.0875715e-06,0.2244833770904,,adamw,4.0,,
115,,hcc,1,2.0,0.0099531614297,True,0.0503276769688,,1,resnet,1.8374980196795,gelu,resnet18,,,0,cosine_warmup,0.000460686,0.1835484630212,,adamw,5.0,,
116,,hcc,1,,2.09745873e-05,,0.0506117541206,4.0,1,densenet,,leakyrelu,,15.0,0.021184727092,1,warmup,0.0003373588002,0.3607581249699,False,adam,,densenet201,35.0
117,,hcc,2,,0.0078606688721,,0.0850434666759,4.0,3,densenet,,gelu,,24.0,0.2726432159218,4,cosine_warmup,1.85489272e-05,0.2679639989117,False,sgd,,densenet169,17.0
118,,hcc,1,2.0,0.0054265997395,False,0.1837014336089,,3,resnet,1.4755968798598,relu,resnet34,,,5,warmup,1.0869433e-06,0.1233190831313,,sgd,6.0,,
119,,hcc,2,,0.0032773908906,,0.110548033886,3.0,2,densenet,,leakyrelu,,12.0,0.1949821688199,3,warmup,7.20590115e-05,0.2515952413585,True,adamw,,densenet169,23.0
120,,hcc,2,2.0,0.0006513089335,True,0.118341386263,,3,resnet,1.7652901906432,leakyrelu,resnet18,,,2,cosine_warmup,3.0778513e-06,0.0464449522021,,sgd,5.0,,
121,,hcc,1,2.0,0.0013601478629,True,0.1394137593299,,2,resnet,1.2684560857569,relu,resnet18,,,0,warmup,6.84716124e-05,0.2889886641756,,adam,6.0,,
122,,hcc,2,2.0,0.0001610635861,True,0.1422785905218,,3,resnet,1.7832649663549,gelu,resnet34,,,1,cosine_warmup,2.055517e-06,0.1536574704472,,adamw,6.0,,
123,,hcc,1,1.0,0.0046685944766,True,0.0695325805108,,4,resnet,1.6570045690205,leakyrelu,resnet18,,,1,warmup,4.7634853e-06,0.1420062354295,,adam,7.0,,
124,,hcc,2,,1.96586346e-05,,0.0205737415788,1.0,3,densenet,,gelu,,23.0,0.2040816133398,4,warmup,1.17856561e-05,0.0420153667561,False,sgd,,densenet169,17.0
125,,hcc,2,,2.31209714e-05,,0.1841803023195,2.0,3,densenet,,leakyrelu,,14.0,0.1511277373354,3,warmup,9.29765554e-05,0.3279115332272,True,sgd,,densenet201,16.0
126,,hcc,1,,4.29416771e-05,,0.0190689477413,4.0,4,densenet,,leakyrelu,,30.0,0.2711820231213,1,warmup,2.75304579e-05,0.0784036632294,False,sgd,,densenet201,22.0
127,,hcc,1,1.0,0.0067160035962,False,0.1636907187635,,4,resnet,1.8318790561955,relu,resnet34,,,0,warmup,3.3295887e-06,0.1393340474928,,adamw,7.0,,
128,,hcc,1,,0.0009189819477,,0.1874647740374,1.0,3,densenet,,relu,,24.0,0.1288307181159,4,cosine_warmup,0.0001272028296,0.321231866587,False,adam,,densenet121,17.0
129,,hcc,2,2.0,1.39371272e-05,False,0.0021260688022,,4,resnet,1.1317983120054,leakyrelu,resnet50,,,4,warmup,2.5269349e-06,0.048575663683,,adam,4.0,,
130,,hcc,1,1.0,0.0001782360795,True,0.1948341060133,,1,resnet,1.6393953339693,gelu,resnet34,,,3,cosine_warmup,4.4050614e-06,0.3816993146292,,adam,7.0,,
131,,hcc,2,2.0,0.0004291323383,False,0.0946379935666,,3,resnet,1.00539331339,gelu,resnet34,,,5,warmup,4.1239747e-06,0.2637367912811,,sgd,3.0,,
132,,hcc,1,,0.0024261998343,,0.1404502695224,3.0,4,densenet,,relu,,31.0,0.0625962199776,4,warmup,2.77867192e-05,0.0847576933443,False,adamw,,densenet121,52.0
133,,hcc,2,2.0,0.0001545010167,True,0.1848129709194,,1,resnet,1.6302193183827,gelu,resnet34,,,3,cosine_warmup,2.2264145e-06,0.1458437165848,,adam,5.0,,
134,,bflair,1,,0.0001742856902,,0.0611107047929,1.0,3,densenet,,leakyrelu,,13.0,0.131069824055,0,warmup,1.63669733e-05,0.2280672763728,False,adamw,,densenet201,59.0
135,,bflair,2,,0.0056761369406,,0.1760227887017,3.0,3,densenet,,relu,,27.0,0.0134519401285,2,cosine_warmup,0.0001227974585,0.1264564589157,True,adamw,,densenet201,34.0
136,,bflair,1,,5.78346343e-05,,0.1277003880444,3.0,1,densenet,,relu,,21.0,0.2564901275972,5,cosine_warmup,2.40585562e-05,0.048914574121,True,sgd,,densenet169,32.0
137,,bflair,1,2.0,6.78862566e-05,True,0.0291851617827,,1,resnet,1.6867976644886,gelu,resnet34,,,2,cosine_warmup,9.2197135e-05,0.0017750611915,,sgd,7.0,,
138,,bflair,2,,0.0005778201238,,0.0778982643587,1.0,4,densenet,,relu,,22.0,0.0832565669527,0,warmup,8.6336965e-06,0.1361820327797,True,sgd,,densenet169,55.0
139,,bflair,2,,0.0047953113966,,0.0235875346123,2.0,1,densenet,,leakyrelu,,28.0,0.2781204279207,3,cosine_warmup,6.7740475e-06,0.0577856643599,False,adam,,densenet121,33.0
140,,bflair,2,,5.62834326e-05,,0.0912292336119,4.0,2,densenet,,relu,,22.0,0.0986151237078,3,warmup,0.0001126919228,0.0577187762911,False,adamw,,densenet169,35.0
141,,bflair,1,1.0,3.48598468e-05,False,0.0547855719677,,1,resnet,1.2695129599214,gelu,resnet34,,,4,warmup,0.0008624981335,0.2795428120329,,adamw,6.0,,
142,,bflair,1,,0.0001413141487,,0.1050903521127,3.0,4,densenet,,leakyrelu,,23.0,0.1173237036845,4,cosine_warmup,0.0006686439803,0.1464364121184,True,adamw,,densenet169,47.0
143,,bflair,2,,0.0051784549882,,0.0437170439309,2.0,3,densenet,,gelu,,18.0,0.1560984032373,0,cosine_warmup,0.0002264730419,0.0163338794335,False,sgd,,densenet121,50.0
144,,bflair,2,,0.0005320778704,,0.1817609242306,1.0,2,densenet,,relu,,22.0,0.2237135912615,1,cosine_warmup,1.69819705e-05,0.1001919769141,False,adam,,densenet169,49.0
145,,bflair,1,,0.0070376845259,,0.1399231261168,4.0,2,densenet,,relu,,29.0,0.1787853729305,0,warmup,0.0005653058103,0.0511201726881,False,adam,,densenet121,17.0
146,,bflair,1,1.0,0.0026105037892,False,0.0964331882278,,4,resnet,1.4659228995139,relu,resnet18,,,1,cosine_warmup,1.01402192e-05,0.1200604807336,,adamw,7.0,,
147,,bflair,1,,2.55906795e-05,,0.0621307944481,1.0,3,densenet,,relu,,25.0,0.2476119419106,4,warmup,0.0002494716125,0.3854442128768,True,adamw,,densenet121,55.0
148,,bflair,2,,2.42995964e-05,,0.0568359183935,1.0,1,densenet,,relu,,25.0,0.0806399795697,0,warmup,5.06968922e-05,0.2736085331082,False,adamw,,densenet169,61.0
149,,bflair,1,2.0,0.0005725444647,False,0.0407018367712,,4,resnet,1.2573810185097,leakyrelu,resnet18,,,3,warmup,3.12555124e-05,0.0453047364955,,adam,6.0,,
150,,bflair,1,,0.0006099116914,,0.0065447905509,1.0,2,densenet,,gelu,,32.0,0.1017321222664,4,warmup,2.4063929e-06,0.075171326168,False,adam,,densenet201,34.0
151,,bflair,1,2.0,0.0003472906751,False,0.0665963109316,,3,resnet,1.6090637727824,relu,resnet50,,,2,cosine_warmup,0.0001813233751,0.3543004404709,,adamw,4.0,,
152,,bflair,2,2.0,1.37588882e-05,True,0.0023748439157,,4,resnet,1.5363968936066,relu,resnet50,,,5,warmup,3.1224069e-06,0.3362709131956,,adam,4.0,,
153,,bflair,2,1.0,0.0020270263006,True,0.0092602961872,,2,resnet,1.7149768809241,relu,resnet18,,,0,warmup,0.0002761954628,0.2768771493945,,sgd,5.0,,
154,,bflair,2,2.0,0.0004709465694,True,0.027850105977,,4,resnet,1.4304365590497,gelu,resnet18,,,2,cosine_warmup,4.1752841e-06,0.0524390143458,,adamw,4.0,,
155,,bflair,2,,0.0028669225524,,0.175514820685,1.0,3,densenet,,gelu,,26.0,0.0115699972905,3,cosine_warmup,0.000553006689,0.3620873676078,True,sgd,,densenet121,19.0
156,,bflair,1,2.0,2.21198666e-05,True,0.1833298157248,,1,resnet,1.589729179883,relu,resnet18,,,5,warmup,0.0004599734163,0.281706704885,,sgd,7.0,,
157,,bflair,2,,0.0017288430924,,0.0153760862775,4.0,2,densenet,,leakyrelu,,12.0,0.2262544024573,1,warmup,0.0001926992426,0.2032473241827,True,adamw,,densenet121,63.0
158,,bflair,2,2.0,5.44397309e-05,False,0.1115333011112,,1,resnet,1.6938050035217,gelu,resnet34,,,0,warmup,2.7820396e-06,0.3744354739976,,adamw,3.0,,
159,,bflair,2,1.0,0.0023991474202,False,0.0171245660174,,4,resnet,1.6532604422957,relu,resnet50,,,1,warmup,6.5384174e-06,0.2015604339435,,sgd,4.0,,
160,,bflair,2,,0.0001880866564,,0.1042619791204,3.0,4,densenet,,gelu,,21.0,0.2598949335369,5,cosine_warmup,7.6102226e-06,0.0907331532722,False,adam,,densenet169,64.0
161,,bflair,1,1.0,1.6425773e-05,False,0.0960687689067,,3,resnet,1.3763424939796,relu,resnet50,,,5,cosine_warmup,0.0003932711602,0.3056438496006,,adamw,3.0,,
162,,bflair,2,,0.0011978230982,,0.1462631362177,2.0,2,densenet,,relu,,28.0,0.000124120326,4,cosine_warmup,3.81787155e-05,0.3733498485516,True,sgd,,densenet121,40.0
163,,bflair,2,1.0,2.76788983e-05,False,0.0393180455846,,2,resnet,1.2179833611012,leakyrelu,resnet50,,,4,cosine_warmup,6.542877e-06,0.2270136059077,,adam,6.0,,
164,,bflair,1,,0.0012757426286,,0.1116673872457,2.0,3,densenet,,relu,,24.0,0.2927995955736,5,cosine_warmup,1.0139553e-06,0.2586610453184,True,adamw,,densenet201,58.0
165,,bflair,2,,0.0011127415471,,0.0966932440983,2.0,1,densenet,,relu,,14.0,0.173232205661,0,warmup,6.2432116e-06,0.2825668649634,True,adam,,densenet121,23.0
166,,bflair,2,,0.0012891286469,,0.1544357901426,3.0,4,densenet,,leakyrelu,,12.0,0.2613830843636,1,cosine_warmup,1.6540671e-06,0.3557043027577,True,adamw,,densenet121,47.0
167,,bflair,1,1.0,0.0001745974634,False,0.1494013581286,,2,resnet,1.6335233364682,leakyrelu,resnet34,,,5,cosine_warmup,0.0002258261893,0.0469048558284,,adamw,3.0,,
168,,bflair,2,,0.0055484875399,,0.1429653578139,3.0,1,densenet,,leakyrelu,,12.0,0.2111450044234,2,cosine_warmup,0.0001494611228,0.0971199525277,True,sgd,,densenet169,50.0
169,,bflair,1,1.0,7.07692847e-05,False,0.0404508395796,,1,resnet,1.0369970980864,gelu,resnet34,,,3,warmup,1.02604711e-05,0.2006506035146,,adam,6.0,,
170,,bflair,1,2.0,4.17632529e-05,True,0.1037087018805,,3,resnet,1.5941661533153,gelu,resnet34,,,3,cosine_warmup,3.63966324e-05,0.1804379571757,,adamw,4.0,,
171,,bflair,2,1.0,0.0007504026852,True,0.0251073188303,,3,resnet,1.4734920154108,leakyrelu,resnet34,,,0,cosine_warmup,6.2865011e-06,0.3173333856511,,adam,6.0,,
172,,bflair,2,1.0,9.21378523e-05,True,0.0238331529857,,2,resnet,1.5303504589086,gelu,resnet50,,,4,warmup,5.2098171e-06,0.2517774223566,,adamw,5.0,,
173,,bflair,2,2.0,0.0005891901449,False,0.1807370069833,,1,resnet,1.8900554931594,leakyrelu,resnet34,,,5,cosine_warmup,2.3777363e-06,0.3944250071694,,adam,7.0,,
174,,bflair,1,,0.0008878882732,,0.1942711352129,4.0,2,densenet,,leakyrelu,,18.0,0.1785836158316,3,warmup,2.82475739e-05,0.0962604389905,True,adam,,densenet121,20.0
175,,bflair,1,2.0,1.78569688e-05,True,0.16348385953,,3,resnet,1.5625491148873,gelu,resnet18,,,4,cosine_warmup,1.66683073e-05,0.2988433235907,,adamw,5.0,,
176,,bflair,1,,1.09754535e-05,,0.0372394962293,3.0,4,densenet,,leakyrelu,,15.0,0.0937373828995,0,warmup,0.0002260124975,0.0843522005155,True,adamw,,densenet121,31.0
177,,bflair,1,,1.73190867e-05,,0.0575256867966,3.0,1,densenet,,relu,,20.0,0.1941215932082,2,cosine_warmup,0.0001215801645,0.01922170037,True,sgd,,densenet201,20.0
178,,bflair,1,1.0,0.0011051909306,False,0.1595244059647,,2,resnet,1.6813412040083,relu,resnet18,,,5,cosine_warmup,0.0002315782634,0.0137079620637,,sgd,3.0,,
179,,bflair,2,,0.0002947693382,,0.0528901733436,4.0,4,densenet,,gelu,,13.0,0.2905738374976,2,cosine_warmup,2.25684872e-05,0.1772558037479,True,adamw,,densenet121,55.0
180,,bflair,1,1.0,7.41367603e-05,False,0.1579156954128,,3,resnet,1.0804469489709,gelu,resnet18,,,4,warmup,1.30189624e-05,0.298543623888,,adamw,5.0,,
181,,bflair,2,1.0,5.72304853e-05,False,0.0907263069462,,2,resnet,1.5227121390699,relu,resnet50,,,3,warmup,2.01277887e-05,0.0139838768582,,sgd,3.0,,
182,,bflair,2,,0.0026323071573,,0.0526320317683,1.0,1,densenet,,leakyrelu,,21.0,0.0783492094682,5,cosine_warmup,0.0008672713119,0.141723912511,False,adamw,,densenet121,56.0
183,,crlm,1,,1.0600417e-05,,0.0496969043425,2.0,2,densenet,,gelu,,21.0,0.2660299073356,1,cosine_warmup,4.86185514e-05,0.1938832286011,False,sgd,,densenet121,19.0
184,,crlm,2,,0.0001237944165,,0.1190412031683,2.0,2,densenet,,relu,,31.0,0.2600158368403,2,warmup,0.0001785604612,0.0735591968305,False,sgd,,densenet169,57.0
185,,crlm,1,,0.0001605387921,,0.1493313913995,1.0,4,densenet,,relu,,27.0,0.2722204969793,1,cosine_warmup,2.50423301e-05,0.0139240561463,True,sgd,,densenet201,39.0
186,,crlm,2,,0.0038409983455,,0.0045835364831,1.0,2,densenet,,gelu,,15.0,0.0874544572845,3,warmup,6.1070824e-06,0.0138539217285,True,adam,,densenet169,32.0
